Дата запуска,Блюдо,Количество повторных продаж,Стоимость по меню,Фактическая цена реализации за ед,Продано количество,Подарено по акции,Количество продаж с уценкой,Кол-во товаров проданных по спец цене ПЛ,Кол-во товаров проданных за живчики,Кол-во списаний,закупка
17.01.2025,Греча (гарнир) 180гр. Маркетинг и еда,1.0,103,86,6.0,0,0,0,0,0.0,6.0
08.03.2022,Гречишные вафли «с гречишным белым кокосовым шоколадом» Nature's own Factory 20гр,0.0,109,109,1.0,0,0,0,0,0.0,1.0
16.01.2023,Гречишный белый шоколад (Жизньмарт),7.0,164,109,11.0,0,0,0,298,0.0,305.0
05.01.2023,Гречишный горький шоколад (Жизньмарт),0.0,119,119,1.0,0,0,0,0,0.0,1.0
21.09.2022,Гречишный молочный шоколад (Жизньмарт),2.0,119,119,6.0,0,0,0,0,0.0,6.0
31.10.2019,Гречишный шоколад имбирь и лимон 20г,0.0,119,119,2.0,0,0,0,0,0.0,2.0
13.05.2021,Гречка с индейкой и овощами 220 г ,5.0,244,0,0.0,0,0,0,0,3.0,3.0
23.09.2023,Гречка с индейкой и овощами 220 г . ФУДСТОР,5.0,229,206,10.0,0,0,0,0,0.0,10.0
07.09.2022,Грибница с шампиньонами и опятами ,1.0,195,0,0.0,0,0,0,0,9.0,9.0
16.01.2025,Грибница с шампиньонами и опятами . Маркетинг и еда,1.0,183,183,2.0,0,0,0,0,0.0,2.0
01.03.2024,Грибы Коралловые по-корейски,0.0,145,145,1.0,0,0,0,0,3.0,4.0
01.03.2024,Грибы черные древесные по-корейски,0.0,140,0,0.0,0,0,0,0,2.0,2.0
19.04.2022,"Грудка индейки с/в,100г",2.0,274,253,4.0,0,2,0,0,5.0,11.0
08.04.2019,"Грудка куриная с ананасами под сыром с картофелем, шт",29.0,209,0,0.0,0,0,0,0,2.0,2.0
16.01.2025,"Грудка куриная с ананасами под сыром с картофелем, шт. Маркетинг и еда",29.0,439,205,52.0,0,2,0,0,3.0,57.0
30.06.2024,Груша Аббат фас. 2 шт,0.0,169,0,0.0,0,0,0,0,1.0,1.0
12.03.2019,"Груша Дюшес АРГЕНТИНА, кг",0.0,170,0,0.0,0,0,0,0,0.31,0.0
